Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,BFH,BFD,BFA,PSH,PSD,PSA,WHH,WHD,WHA,1XBH,1XBD,1XBA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,BFCH,BFCD,BFCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,1XBCH,1XBCD,1XBCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA
E0,17/08/2024,12:30,Ipswich,Liverpool,0,2,A,0,0,D,T Robinson,7,18,2,5,9,18,2,10,3,1,0,0,8.5,5.5,1.33,7.5,5.5,1.36,8.5,5.5,1.33,8.18,5.84,1.34,8.5,5.5,1.33,8.6,5.85,1.35,9,6.1,1.37,8.28,5.76,1.34,9.4,6.2,1.36,1.4,3,1.41,3,1.43,3.07,1.41,2.94,1.45,3.15,1.5,2.02,1.91,1.99,1.92,2.02,1.95,1.97,1.9,2.04,1.93,8,5.75,1.33,8,5.75,1.34,7.5,5.5,1.33,8.14,6.09,1.34,8,5.5,1.35,8.57,5.85,1.34,8.57,6.25,1.39,7.87,5.81,1.35,8.6,6.2,1.37,1.36,3.2,1.37,3.3,1.4,3.38,1.37,3.18,1.4,3.4,1.5,2.05,1.88,2.04,1.9,2.2,2,1.99,1.88,2.04,1.93
E0,24/08/2024,15:00,Man City,Ipswich,4,1,H,3,1,H,M Salisbury,14,1,5,1,4,15,10,1,2,3,0,0,1.08,12,21,1.1,12.5,23,1.08,13,31,1.08,13.21,25.71,1.1,11,26,1.1,12.2,27,1.1,14,34,1.09,12.17,26.97,1.1,15,34,1.3,3.5,1.29,3.36,1.3,3.8,1.29,3.54,,,-2.75,2.04,1.86,2.05,1.85,2.07,1.91,2.01,1.85,2.07,1.87,1.1,10,23,1.11,11.5,21,1.1,11,26,1.1,11,31,1.1,10,29,1.09,11,26,1.12,15,32,1.09,11.44,27.5,1.12,12.5,32,1.3,3.5,1.29,3.36,1.32,3.75,1.29,3.62,1.33,4,-2.5,1.9,2.03,1.82,2.07,1.93,2.13,1.84,2.04,1.89,2.09
E0,31/08/2024,15:00,Ipswich,Fulham,1,1,D,1,1,D,L Smith,11,9,4,4,15,15,8,6,2,3,0,0,3,3.5,2.3,3.1,3.5,2.25,3.1,3.4,2.3,3.14,3.53,2.32,3.1,3.5,2.3,3.13,3.66,2.31,3.2,3.66,2.38,3.1,3.5,2.31,3.2,3.6,2.42,1.84,2.06,1.83,2.06,1.88,2.07,1.82,2.03,1.83,2.12,0.25,1.87,2.03,1.89,2.01,1.91,2.08,1.86,1.98,1.91,2.08,3,3.4,2.38,2.95,3.4,2.4,3,3.4,2.38,3.07,3.43,2.43,3,3.4,2.38,3.2,3.46,2.33,3.2,3.5,2.45,3.03,3.41,2.4,3.15,3.55,2.46,1.95,1.95,1.93,1.97,1.96,2,1.9,1.94,2,1.98,0.25,1.82,2.11,1.83,2.11,1.86,2.11,1.81,2.06,1.88,2.11
E0,14/09/2024,15:00,Brighton,Ipswich,0,0,D,0,0,D,S Barrott,21,6,6,1,14,16,9,2,4,3,0,0,1.38,5,7.5,1.38,5.25,7.75,1.36,5,8.5,1.38,5.13,8.05,1.4,5,8,1.41,5.24,7.8,1.41,5.4,8.5,1.38,5.16,7.89,1.4,5.6,9,1.53,2.5,1.56,2.49,1.59,2.52,1.56,2.46,1.59,2.66,-1.5,2.03,1.78,2.09,1.79,2.12,1.83,2.07,1.8,2.13,1.83,1.45,4.75,6.5,1.5,4.6,6,1.44,4.5,6.5,1.53,4.61,6.22,1.44,4.75,7,1.47,4.86,6.92,1.54,4.9,7,1.48,4.7,6.48,1.51,4.9,7,1.62,2.3,1.68,2.3,1.68,2.41,1.62,2.34,1.66,2.48,-1,1.87,2.06,1.89,2.04,1.89,2.16,1.8,2.1,1.83,2.19
E0,21/09/2024,15:00,Southampton,Ipswich,1,1,D,1,0,H,S Allison,11,13,3,6,16,16,2,10,4,4,0,0,2.25,3.5,3.2,2.25,3.6,3,2.3,3.4,3.1,2.27,3.5,3.24,2.2,3.6,3.2,2.26,3.7,3.2,2.3,3.7,3.27,2.25,3.52,3.17,2.34,3.6,3.3,1.8,2,1.8,2.09,1.82,2.13,1.77,2.06,1.86,2.12,-0.25,1.97,1.93,1.97,1.93,1.97,1.95,1.92,1.92,2.03,1.96,2.45,3.4,2.88,2.4,3.4,2.9,2.4,3.4,3,2.42,3.48,3.06,2.4,3.4,3,2.43,3.46,3.03,2.49,3.53,3.06,2.44,3.44,2.95,2.48,3.55,3.1,1.8,2,1.81,2.08,1.9,2.13,1.8,2.02,1.86,2.14,-0.25,2.08,1.73,2.09,1.85,2.14,1.85,2.08,1.79,2.13,1.86
E0,29/09/2024,14:00,Ipswich,Aston Villa,2,2,D,1,2,A,S Attwell,15,7,5,3,10,14,10,0,4,1,0,0,4,3.75,1.85,3.9,3.7,1.9,4.2,3.75,1.87,4.34,3.77,1.85,4,3.7,1.91,4.23,4,1.86,4.4,4,1.91,4.15,3.77,1.87,4.4,3.85,1.92,1.73,2.1,1.74,2.18,1.79,2.2,1.73,2.14,1.77,2.26,0.5,2.01,1.89,2.05,1.86,2.05,1.91,1.99,1.87,2.08,1.91,3.5,3.5,2.1,3.6,3.6,2.05,3.6,3.6,2.05,3.64,3.59,2.1,3.7,3.5,2.05,3.78,3.56,2.06,3.9,3.65,2.11,3.65,3.58,2.06,3.75,3.75,2.12,1.8,2,1.85,2.07,1.85,2.11,1.8,2.05,1.86,2.14,0.5,1.75,2.05,1.83,2.11,1.87,2.12,1.82,2.05,1.87,2.13
E0,05/10/2024,15:00,West Ham,Ipswich,4,1,H,2,1,H,A Taylor,23,9,13,2,12,6,5,5,0,1,0,0,1.8,3.8,4.33,1.8,3.9,4.1,1.75,3.9,4.4,1.81,4.02,4.29,1.8,3.9,4.33,1.83,4.06,4.28,1.86,4.1,4.45,1.8,3.96,4.25,1.83,4.1,4.6,1.67,2.2,1.71,2.22,1.72,2.29,1.69,2.21,1.72,2.32,-0.75,2.04,1.86,2.04,1.87,2.06,1.89,2.02,1.83,2.07,1.92,1.9,3.8,3.8,1.9,3.75,3.9,1.85,3.7,4,1.92,3.84,4.05,1.91,3.75,3.9,1.87,3.91,4.18,2,3.91,4.18,1.91,3.79,3.98,1.94,3.9,4.3,1.73,2.1,1.74,2.2,1.78,2.31,1.73,2.15,1.77,2.28,-0.5,1.94,1.99,1.93,2,1.95,2.02,1.9,1.97,1.94,2.05
E0,19/10/2024,15:00,Ipswich,Everton,0,2,A,0,2,A,M Oliver,13,11,2,8,12,10,5,8,1,1,0,0,2.38,3.3,3,2.4,3.4,2.9,2.4,3.4,3,2.4,3.43,3.07,2.4,3.4,3,2.42,3.48,3.08,2.42,3.5,3.11,2.4,3.42,3.01,2.48,3.5,3.15,1.86,2.04,1.86,2.03,1.88,2.06,1.83,2.01,1.88,2.1,-0.25,2.08,1.82,2.08,1.84,2.12,1.84,2.05,1.81,2.12,1.87,2.38,3.4,2.9,2.35,3.4,3.1,2.3,3.4,3.1,2.44,3.43,3.06,2.38,3.3,3.1,2.43,3.58,2.95,2.44,3.6,3.2,2.38,3.43,3.05,2.48,3.5,3.15,1.88,2.02,1.88,2.03,1.92,2.1,1.86,2,1.91,2.08,-0.25,2.1,1.83,2.11,1.83,2.11,1.87,2.03,1.84,2.12,1.88
E0,26/10/2024,15:00,Brentford,Ipswich,4,3,H,2,2,D,L Smith,20,11,9,5,7,10,5,5,0,1,0,1,1.65,4.33,4.75,1.68,4.2,4.75,1.65,4.2,5,1.65,4.35,4.94,1.7,4.2,4.6,1.71,4.38,4.69,1.71,4.4,5.1,1.67,4.27,4.86,1.71,4.4,5.2,1.67,2.2,1.67,2.29,1.69,2.33,1.65,2.28,1.69,2.32,-0.75,1.82,2.08,1.83,2.09,1.86,2.11,1.81,2.04,1.89,2.09,1.67,4.2,4.75,1.65,4.1,5,1.67,4,5,1.68,4.16,5.19,1.65,4.2,5,1.68,4.27,5.01,1.71,4.33,5.5,1.66,4.16,5.07,1.71,4.2,5.5,1.67,2.2,1.71,2.24,1.73,2.3,1.68,2.24,1.73,2.34,-0.75,1.85,2.08,1.86,2.08,1.88,2.08,1.83,2.04,1.89,2.09
E0,02/11/2024,15:00,Ipswich,Leicester,1,1,D,0,0,D,T Robinson,14,20,2,6,11,10,4,6,4,2,1,0,2.25,3.5,3.1,2.25,3.5,3.1,2.3,3.5,3.1,2.28,3.63,3.13,2.25,3.6,3.1,2.28,3.77,3.11,2.3,3.77,3.18,2.27,3.61,3.09,2.34,3.7,3.25,1.73,2.1,1.72,2.2,1.74,2.25,1.71,2.18,1.74,2.28,-0.25,2,1.9,1.99,1.92,2.05,1.92,1.95,1.89,2.02,1.95,2.3,3.7,2.9,2.37,3.6,2.87,2.38,3.4,3,2.36,3.54,3.09,2.3,3.6,3,2.41,3.77,2.86,2.42,3.77,3.23,2.36,3.59,2.97,2.44,3.6,3.15,1.67,2.2,1.72,2.22,1.76,2.31,1.69,2.22,1.73,2.34,-0.25,2.05,1.88,2.05,1.88,2.07,1.94,2.03,1.84,2.1,1.89
E0,10/11/2024,14:00,Tottenham,Ipswich,1,2,A,0,2,A,D England,17,8,5,3,10,19,12,2,1,5,0,0,1.25,6.5,9,1.26,6.75,10,1.25,7,10,1.25,6.95,9.87,1.25,6.5,11,1.27,6.88,10.4,1.27,7.3,11,1.26,6.76,9.98,1.29,7.4,10.5,1.3,3.5,1.32,3.49,1.33,3.7,1.3,3.49,1.33,3.8,-1.75,1.85,2.05,1.83,2.07,1.9,2.07,1.83,2.01,1.9,2.05,1.25,6.5,9.5,1.26,6.75,10,1.25,6.5,10.5,1.26,6.72,10.66,1.25,6.5,11,1.27,6.83,10.4,1.28,7.3,12,1.25,6.71,10.56,1.28,7,12,1.33,3.4,1.34,3.42,1.36,3.7,1.32,3.44,1.37,3.65,-1.75,1.86,2.07,1.88,2.03,1.88,2.09,1.84,2.03,1.91,2.08
E0,24/11/2024,16:30,Ipswich,Man United,1,1,D,1,1,D,A Taylor,11,11,6,4,11,10,4,3,0,0,0,0,5.25,4,1.62,4.8,4.2,1.65,5,4.2,1.62,5.24,4.25,1.64,5,4.2,1.65,4.99,4.48,1.66,5.3,4.48,1.68,5.06,4.22,1.63,5.5,4.4,1.67,1.57,2.38,1.57,2.5,1.62,2.57,1.56,2.44,1.6,2.58,1,1.83,2.07,1.84,2.08,1.86,2.08,1.82,2.05,1.89,2.08,5,4.1,1.65,4.8,4,1.68,5,4,1.62,5.15,4.16,1.68,5.5,3.9,1.65,5.42,4.18,1.65,5.5,4.25,1.72,5.06,4.09,1.67,5.6,4.3,1.69,1.67,2.2,1.66,2.33,1.68,2.43,1.64,2.3,1.69,2.42,0.75,2.06,1.87,2.06,1.87,2.12,1.88,2.04,1.83,2.12,1.88
E0,30/11/2024,15:00,Nott'm Forest,Ipswich,1,0,H,0,0,D,T Harrington,12,7,5,3,5,16,8,7,1,3,0,0,1.7,3.8,4.75,1.73,3.8,4.75,1.73,3.8,5,1.78,3.75,4.85,1.73,3.75,4.8,1.77,3.95,4.79,1.81,4,5.06,1.75,3.82,4.79,1.78,4,5.3,1.92,1.98,1.93,1.95,1.95,1.99,1.89,1.94,1.94,2.02,-0.75,1.92,1.86,2.01,1.9,2.01,1.96,1.94,1.89,2.01,1.96,1.7,4,4.75,1.73,3.9,4.75,1.7,3.9,5,1.74,3.98,4.94,1.7,3.9,4.8,1.71,4.07,5.01,1.83,4.07,5.01,1.72,3.95,4.86,1.75,4,5.4,1.73,2.1,1.8,2.1,1.89,2.2,1.77,2.09,1.84,2.16,-0.75,1.91,1.99,1.94,1.98,1.95,2.02,1.9,1.95,1.96,2.02
E0,03/12/2024,19:30,Ipswich,Crystal Palace,0,1,A,0,0,D,C Pawson,9,13,2,3,14,13,4,7,2,4,0,0,3,3.4,2.35,3,3.3,2.4,3.1,3.3,2.38,3.15,3.41,2.39,3.1,3.3,2.38,3.11,3.54,2.37,3.2,3.54,2.44,3.09,3.37,2.38,3.2,3.45,2.46,2.01,1.89,2.03,1.88,2.02,1.9,1.98,1.86,2.04,1.94,0.25,1.85,2.05,1.87,2.07,1.88,2.08,1.83,2.02,1.87,2.11,3.2,3.4,2.25,3.2,3.25,2.3,3.25,3.4,2.3,3.35,3.39,2.3,3.3,3.3,2.25,3.4,3.46,2.23,3.46,3.5,2.35,3.27,3.36,2.29,3.4,3.4,2.38,2.04,1.86,2.04,1.88,2.05,1.91,1.99,1.86,2.04,1.94,0.25,1.92,1.98,1.94,1.98,1.96,2,1.91,1.95,1.96,2.03
E0,08/12/2024,14:00,Ipswich,Bournemouth,1,2,A,1,0,H,M Salisbury,18,22,5,6,9,13,6,13,2,1,0,0,3.5,3.75,2,3.4,3.6,2.05,3.6,3.7,2,3.68,3.76,2.01,3.5,3.7,2.05,,,,3.71,3.8,2.06,3.57,3.73,2.02,3.75,3.85,2.08,1.73,2.1,1.72,2.2,1.75,2.22,1.72,2.16,1.75,2.26,0.5,1.87,2.03,1.88,2.02,1.89,2.05,1.85,2.01,1.9,2.08,3.7,3.8,1.91,3.8,3.75,1.93,3.6,3.6,1.95,3.92,3.82,1.95,3.8,3.75,1.91,3.95,3.9,1.92,4,4,2,3.81,3.83,1.93,3.95,3.9,2.02,1.67,2.2,1.7,2.26,1.7,2.35,1.67,2.25,1.73,2.34,0.5,1.95,1.95,1.96,1.96,2,1.99,1.94,1.92,1.96,2.03
E0,14/12/2024,15:00,Wolves,Ipswich,1,2,A,0,1,A,S Hooper,16,10,6,5,13,9,7,3,0,2,1,0,1.9,3.8,3.8,1.88,3.8,3.9,1.91,3.75,3.9,1.91,3.91,3.93,1.85,3.8,3.8,1.93,3.96,3.94,1.93,3.96,4,1.9,3.83,3.85,1.98,3.9,4.1,1.73,2.1,1.74,2.18,1.76,2.23,1.72,2.15,1.77,2.24,-0.5,1.92,1.98,1.92,1.99,1.95,1.99,1.9,1.94,1.98,2.01,1.91,3.7,3.75,1.98,3.6,3.7,1.95,3.5,3.75,2,3.65,3.93,2,3.6,3.6,1.98,3.77,3.82,2.08,3.77,3.93,1.98,3.64,3.77,2.04,3.75,4,1.8,2,1.87,2.04,1.87,2.12,1.81,2.04,1.86,2.14,-0.5,1.98,1.95,2.01,1.92,2.01,1.95,1.98,1.88,2.02,1.94
